config_id,N,H,B,tau,strategy,profile,T,p_genuine,p_attack,priority,safe_mode,experiment,seed_policy,offered_load_ratio
0,10,1,0,2,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
1,10,1,0,6,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
2,10,1,0,12,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
3,10,1,1,2,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,1.8
4,10,1,1,6,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,5.4
5,10,1,1,12,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,10.8
6,10,1,2,2,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,3.6
7,10,1,2,6,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,10.8
8,10,1,2,12,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,21.6
9,10,3,0,2,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
10,10,3,0,6,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
11,10,3,0,12,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
12,10,3,1,2,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.6
13,10,3,1,6,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,1.8
14,10,3,1,12,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,3.6
15,10,3,2,2,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,1.2
16,10,3,2,6,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,3.6
17,10,3,2,12,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,7.2
18,10,5,0,2,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
19,10,5,0,6,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
20,10,5,0,12,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
21,10,5,1,2,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.36
22,10,5,1,6,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,1.08
23,10,5,1,12,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,2.16
24,10,5,2,2,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.72
25,10,5,2,6,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,2.16
26,10,5,2,12,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,4.32
27,20,1,0,2,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
28,20,1,0,6,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
29,20,1,0,12,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
30,20,1,1,2,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,1.8
31,20,1,1,6,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,5.4
32,20,1,1,12,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,10.8
33,20,1,2,2,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,3.6
34,20,1,2,6,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,10.8
35,20,1,2,12,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,21.6
36,20,3,0,2,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
37,20,3,0,6,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
38,20,3,0,12,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
39,20,3,1,2,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.6
40,20,3,1,6,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,1.8
41,20,3,1,12,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,3.6
42,20,3,2,2,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,1.2
43,20,3,2,6,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,3.6
44,20,3,2,12,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,7.2
45,20,5,0,2,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
46,20,5,0,6,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
47,20,5,0,12,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
48,20,5,1,2,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.36
49,20,5,1,6,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,1.08
50,20,5,1,12,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,2.16
51,20,5,2,2,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.72
52,20,5,2,6,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,2.16
53,20,5,2,12,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,4.32
54,50,1,0,2,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
55,50,1,0,6,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
56,50,1,0,12,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
57,50,1,1,2,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,1.8
58,50,1,1,6,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,5.4
59,50,1,1,12,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,10.8
60,50,1,2,2,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,3.6
61,50,1,2,6,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,10.8
62,50,1,2,12,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,21.6
63,50,3,0,2,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
64,50,3,0,6,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
65,50,3,0,12,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
66,50,3,1,2,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.6
67,50,3,1,6,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,1.8
68,50,3,1,12,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,3.6
69,50,3,2,2,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,1.2
70,50,3,2,6,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,3.6
71,50,3,2,12,fallback_first,none,120,0.002,0.9,fifo,False,RQ1_core,independent,7.2
72,50,5,0,2,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
73,50,5,0,6,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
74,50,5,0,12,none,none,120,0.002,0.9,fifo,False,RQ1_core,independent,0.0
